gene_name,chrom,tss,strand
KCTD10,chr12,109477305,-
ZBTB24,chr6,109483239,-
SYPL2,chr1,109466546,+
UBE3B,chr12,109477402,+
ATXN7L2,chr1,109483905,+
AK9,chr6,109691217,-
CYB561D1,chr1,109494052,+
PALM2AKAP2,chr9,109498325,+
AMIGO1,chr1,109509738,-
NXT2,chrX,109535781,+
EBAG9,chr8,109539711,+
ENSG00000289767,chr8,109539726,+
GPR61,chr1,109539872,+
SEPTIN10,chr2,109614143,-
GNAI3,chr1,109548615,+
MMAB,chr12,109573580,-
MCUB,chr4,109560212,+
MVK,chr12,109573255,+
SYBU,chr8,109691791,-
GNAT2,chr1,109619929,-
SOWAHC,chr2,109614364,+
AMPD2,chr1,109616104,+
KCNE5,chrX,109625172,-
ACSL4,chrX,109733403,-
GSTM4,chr1,109656099,+
GSTM2,chr1,109668022,+
GSTM1,chr1,109687814,+
CASP6,chr4,109703445,-
MAN2A1,chr5,109689927,+
FIG4,chr6,109690609,+
PLA2G12A,chr4,109730070,-
GSTM5,chr1,109711780,+
FAM222A,chr12,109713825,+
ENSG00000285330,chr4,109801999,-
CFI,chr4,109802150,-
GSTM3,chr1,109741038,-
EPS8L3,chr1,109764027,-
IRS2,chr13,109786583,-
TRPV4,chr12,109833398,-
RGPD5,chr2,109792758,+
GAR1,chr4,109815510,+
RRH,chr4,109827972,+
LRIT3,chr4,109848107,+
GLTP,chr12,109880541,-
RDX,chr11,110296712,-
XPNPEP1,chr10,109923553,-
LIMS3,chr2,109898428,+
ENSG00000284337,chr2,109898432,+
TCHP,chr12,109900274,+
CSF1,chr1,109910242,+
EGF,chr4,109912883,+
GIT2,chr12,109996389,-
KCNV1,chr8,109975771,-
GPR6,chr6,109978256,+
AHCYL1,chr1,109984765,+
ADD3,chr10,109996368,+
ANKRD13A,chr12,109999430,+
TMEM164,chrX,110002631,+
C12orf76,chr12,110073636,-
STRIP1,chr1,110031577,+
ELOVL6,chr4,110199199,-
ALX3,chr1,110070672,-
MALL,chr2,110116022,-
ZC3H12C,chr11,110093392,+
WASF1,chr6,110180004,-
UBL4B,chr1,110112443,+
NPHP1,chr2,110205066,-
IFT81,chr12,110124335,+
COL4A1,chr13,110307202,-
SLC6A17,chr1,110150494,+
CDC40,chr6,110180141,+
C9orf152,chr9,110208159,-
AMMECR1,chrX,110440318,-
MXI1,chr10,110207605,+
KCNC4,chr1,110210314,+
MTLN,chr2,110245420,-
TXN,chr9,110256507,-
METTL24,chr6,110358349,-
ATP2A2,chr12,110280756,+
TMEM232,chr5,110738956,-
SMNDC1,chr10,110304920,-
TXNDC8,chr9,110337891,-
COL4A2,chr13,110305812,+
RBM15,chr1,110338506,+
GNG5B,chrX,110440372,-
RTL9,chrX,110358848,+
SLC16A4,chr1,110391082,-
SVEP1,chr9,110579880,-
ENPEP,chr4,110365733,+
ANAPC7,chr12,110403730,-
DDO,chr6,110415575,-
LAMTOR5,chr1,110407942,-
ENSG00000257207,chr2,110473075,-
SLC22A16,chr6,110476641,-
FDX1,chr11,110429948,+
ARPC3,chr12,110450337,-
LIMS4,chr2,110473075,-
PROK1,chr1,110451149,+
GPN3,chr12,110469268,-
FAM216A,chr12,110468845,+
VPS29,chr12,110502111,-
DUSP5,chr10,110497907,+
RAD9B,chr12,110501655,+
RGPD6,chr2,110610840,-
KCNA10,chr1,110519175,-
KCNA2,chr1,110631474,-
CRIPTO3,chrX,110520896,+
RAB20,chr13,110561722,-
PPTC7,chr12,110583318,-
SMC3,chr10,110567695,+
ARHGAP20,chr11,110713189,-
CDK19,chr6,110815958,-
TCTN1,chr12,110614027,+
NAXD,chr13,110615545,+
PITX2,chr4,110642123,-
HVCN1,chr12,110704950,-
BUB1,chr2,110678063,-
CARS2,chr13,110713603,-
RBM20,chr10,110644336,+
KCNA3,chr1,110674940,-
IMMP2L,chr7,111562517,-
MUSK,chr9,110668779,+
CHRDL1,chrX,110795819,-
ING1,chr13,110712736,+
PPP1CC,chr12,110742939,-
ACOXL,chr2,110732539,+
SLC25A46,chr5,110738136,+
CCDC63,chr12,110846769,+
CD53,chr1,110871188,+
PDCD4,chr10,110871795,+
LPAR1,chr9,111038470,-
AMD1,chr6,110874784,+
ANKRD10,chr13,110915069,-
BBIP1,chr10,110919201,-
MYL2,chr12,111052434,-
SHOC2,chr10,110919367,+
PAK3,chrX,110944285,+
LRIF1,chr1,110963965,-
GTF3C6,chr6,110958706,+
RPF2,chr6,110982038,+
CUX2,chr12,111034165,+
TSLP,chr5,111070062,+
NECTIN3,chr3,111070071,+
ADRA2A,chr10,111077029,+
SLC16A10,chr6,111087503,+
LRRN3,chr7,111091006,+
WDR36,chr5,111092348,+
ARHGEF7,chr13,111114559,+
DRAM2,chr1,111140203,-
BCL2L11,chr2,111119378,+
ENSG00000293584,chr2,111121153,+
CEPT1,chr1,111139479,+
DENND2D,chr1,111204535,-
CHI3L2,chr1,111200771,+
CAMK4,chr5,111223653,+
CAPN6,chrX,111270483,-
POU2AF2,chr11,111245725,+
MFSD4B,chr6,111259327,+
CHIA,chr1,111290851,+
CD96,chr3,111292719,+
DCX,chrX,111412429,-
POU2AF3,chr11,111298546,+
REV3L,chr6,111483715,-
TEX29,chr13,111320642,+
OR2K2,chr9,111330224,-
CIMAP3,chr1,111346600,+
POU2AF1,chr11,111455630,-
PHETA1,chr12,111369121,-
ECPAS,chr9,111484745,-
SH2B3,chr12,111405923,+
OVGP1,chr1,111427735,-
WDR77,chr1,111449256,-
ATXN2,chr12,111599676,-
ATP5PB,chr1,111448864,+
BTG4,chr11,111514367,-
C1orf162,chr1,111473792,+
TMIGD3,chr1,111563962,-
STARD4,chr5,111512590,-
ADORA3,chr1,111503633,-
SERTM2,chrX,111511645,+
HOATZ,chr11,111514778,+
ZNF483,chr9,111525159,+
LAYN,chr11,111540280,+
RAP1A,chr1,111542218,+
PTGR1,chr9,111599835,-
TRAF3IP2,chr6,111606906,-
ZBED2,chr3,111595346,-
SIK2,chr11,111602449,+
ANAPC1,chr2,111884690,-
DNAJC25,chr9,111631334,+
DNAJC25-GNG10,chr9,111631386,+
BRAP,chr12,111685956,-
FYN,chr6,111873452,-
GNG10,chr9,111661605,+
NREP,chr5,111997464,-
ALG13,chrX,111681118,+
PLCXD2,chr3,111674676,+
INKA2,chr1,111755824,-
ACAD10,chr12,111686053,+
SHOC1,chr9,111795008,-
DOCK4,chr7,112206399,-
PPP2R1B,chr11,111766389,-
PHLDB2,chr3,111732497,+
ENSG00000257767,chr12,111753890,+
DDX20,chr1,111754832,+
ALDH2,chr12,111766887,+
TRPC5,chrX,112082776,-
KCND3,chr1,111989668,-
ALG9,chr11,111871581,-
ENSG00000258529,chr11,111879425,-
MAPKAPK5,chr12,111842013,+
ENSG00000292259,chr12,111842237,+
FDXACB1,chr11,111881243,-
TRPC5OS,chrX,111876051,+
CFAP68,chr11,111878935,+
UGCG,chr9,111896814,+
MERTK,chr2,111898607,+
CRYAB,chr11,111923722,-
HSPB2,chr11,111912734,+
HSPB2-C11orf52,chr11,111912736,+
C11orf52,chr11,111918032,+
DIXDC1,chr11,111927144,+
TMEM116,chr12,112013866,-
ABHD10,chr3,111979026,+
TAGLN3,chr3,111998739,+
ERP29,chr12,112013348,+
DLAT,chr11,112025033,+
NAA25,chr12,112108783,-
TMPRSS7,chr3,112034736,+
SUSD1,chr9,112175297,-
CCN6,chr6,112054075,+
TMEM87B,chr2,112055269,+
PIH1D2,chr11,112074274,-
SOX1,chr13,112067149,+
TUBE1,chr6,112087482,-
NKAPD1,chr11,112074086,+
RTL4,chrX,112083016,+
TIMM8B,chr11,112086798,-
C3orf52,chr3,112086335,+
SDHD,chr11,112086872,+
ENSG00000255292,chr11,112086903,+
FAM229B,chr6,112087591,+
LAMA4,chr6,112254939,-
GCSAM,chr3,112133270,-
TRAFD1,chr12,112125545,+
FBLN7,chr2,112138385,+
SLC9C1,chr3,112294227,-
EPB41L4A,chr5,112419277,-
IL18,chr11,112164096,-
FAM241A,chr4,112145454,+
GPAM,chr10,112215377,-
HECTD4,chr12,112382439,-
TEX12,chr11,112167372,+
BCO2,chr11,112175512,+
ZNF277,chr7,112206695,+
ZC3H8,chr2,112255136,-
PTBP3,chr9,112333653,-
CSMD3,chr8,113436939,-
PTS,chr11,112226428,+
AP1AR,chr4,112231787,+
ENSG00000281613,chr6,112236806,+
PLET1,chr11,112260860,-
TIFA,chr4,112285955,-
ZC3H6,chr2,112275597,+
TECTB,chr10,112283400,+
ALPK1,chr4,112285509,+
CD200,chr3,112332347,+
RFPL4B,chr6,112347330,+
RGPD8,chr2,112434488,-
ACSL5,chr10,112374116,+
SPACA7,chr13,112376355,+
HSDL2,chr9,112380080,+
CTTNBP2NL,chr1,112396214,+
RPL6,chr12,112418838,-
PTPN11,chr12,112418351,+
IFRD1,chr7,112422887,+
ZDHHC6,chr10,112447572,-
VTI1A,chr10,112446998,+
ENSG00000288640,chr7,112450460,+
ENSG00000288634,chr7,112450487,+
BTLA,chr3,112499472,-
WNT2B,chr1,112466541,+
LSMEM1,chr7,112480853,+
TTL,chr2,112482156,+
TUBGCP3,chr13,112588153,-
KIAA1958,chr9,112486827,+
NEUROG2,chr4,112516180,-
ST7L,chr1,112620825,-
ATG3,chr3,112562046,-
ZGRF1,chr4,112636910,-
POLR1B,chr2,112541915,+
SLC35A5,chr3,112561709,+
RPH3A,chr12,112570380,+
CHCHD5,chr2,112584240,+
CCDC80,chr3,112649530,-
CAPZA1,chr1,112619805,+
LHFPL1,chrX,112680054,-
LARP7,chr4,112637120,+
SLC20A1,chr2,112645939,+
MOV10,chr1,112673141,+
INIP,chr9,112718149,-
ATP11A,chr13,112690038,+
RHOC,chr1,112707434,-
ENSG00000271810,chr1,112711433,-
APC,chr5,112707518,+
PPM1J,chr1,112715332,-
TAFA3,chr1,112718905,+
NT5DC4,chr2,112721020,+
CKAP2L,chr2,112764664,-
SNX30,chr9,112750760,+
TMEM168,chr7,112790423,-
IL1A,chr2,112784493,-
AMOT,chrX,112840831,-
CD200R1L,chr3,112846864,-
ANK2,chr4,112818032,+
SAMTOR,chr7,112939875,-
ENSG00000258864,chr5,112827213,+
IL1B,chr2,112836816,-
SRP19,chr5,112861188,+
REEP5,chr5,112922289,-
SLC46A2,chr9,112890876,-
MCF2L,chr13,112894378,+
OAS1,chr12,112905856,+
IL37,chr2,112911165,+
SLC16A1,chr1,112957593,-
CD200R1,chr3,112975103,-
OAS3,chr12,112938284,+
TCF7L2,chr10,112950247,+
NCAM1,chr11,112961275,+
IL36G,chr2,112973203,+
DCP2,chr5,112976702,+
OAS2,chr12,112978395,+
ZNF883,chr9,113012192,-
GTPBP8,chr3,112990984,+
NEPRO,chr3,113019733,-
IL36A,chr2,113005459,+
IL36B,chr2,113052867,-
MCC,chr5,113488823,-
ZFP37,chr9,113056759,-
DTX1,chr12,113056730,+
IL36RN,chr2,113058638,+
IL1F10,chr2,113067970,+
LRIG2,chr1,113073198,+
GPR85,chr7,113087778,-
RASAL1,chr12,113136239,-
IL1RN,chr2,113099315,+
F7,chr13,113105788,+
SMIM30,chr7,113118560,-
F10,chr13,113122799,+
CFAP73,chr12,113149724,+
SLC31A2,chr9,113150976,+
DDX54,chr12,113185479,-
PSD4,chr2,113157325,+
PROZ,chr13,113158648,+
FKBP15,chr9,113221318,-
PCID2,chr13,113208715,-
RITA1,chr12,113185526,+
IQCD,chr12,113221094,-
CUL4A,chr13,113208193,+
BOC,chr3,113211003,+
PAX8,chr2,113278921,-
TPCN1,chr12,113221050,+
SLC31A1,chr9,113221544,+
CDC26,chr9,113275572,-
PRPF4,chr9,113275642,+
CFAP44,chr3,113441610,-
RNF183,chr9,113303376,-
LAMP1,chr13,113297239,+
SLC8B1,chr12,113359493,-
WDR31,chr9,113340298,-
TTC12,chr11,113314579,+
GRTP1,chr13,113364148,-
BSPRY,chr9,113349541,+
PLBD2,chr12,113358566,+
SPICE1-CFAP44,chr3,113515151,-
HDHD3,chr9,113376986,-
ALAD,chr9,113401290,-
ANKK1,chr11,113387779,+
MAGI3,chr1,113390515,+
SDS,chr12,113426301,-
ADPRHL1,chr13,113453488,-
IGKV1OR2-108,chr2,113406396,+
POLE3,chr9,113410675,-
DRD2,chr11,113475398,-
C9orf43,chr9,113410054,+
CAMK2D,chr4,113761927,-
SDSL,chr12,113422380,+
TSSK1B,chr5,113434989,-
ZNG1B,chr2,113437691,+
SPICE1,chr3,113515187,-
RGS3,chr9,113444731,+
DCUN1D2,chr13,113490951,-
LHX5,chr12,113472280,-
TMCO3,chr13,113491021,+
FOXD4L1,chr2,113498665,+
YTHDC2,chr5,113513694,+
SIDT1,chr3,113532555,+
HABP2,chr10,113550837,+
TFDP1,chr13,113584721,+
NRAP,chr10,113664070,-
RABL2A,chr2,113627229,+
USF3,chr3,113696646,-
ATP4B,chr13,113658198,-
GRK1,chr13,113667219,+
CASP7,chr10,113679162,+
TMPRSS5,chr11,113706373,-
PHTF1,chr1,113759489,-
SLC35F5,chr2,113756642,-
NAA50,chr3,113746300,-
ZW10,chr11,113773692,-
ATP6V1A,chr3,113746770,+
PLEKHS1,chr10,113751262,+
TMEM255B,chr13,113759226,+
RSBN1,chr1,113812476,-
CLDN25,chr11,113779796,+
USP28,chr11,113875572,-
PTPN22,chr1,113871753,-
RBM19,chr12,113966325,-
GAS6,chr13,113864076,-
GRAMD1C,chr3,113828182,+
DCLRE1A,chr10,113854383,-
NHLRC2,chr10,113854661,+
MARCKS,chr6,113857345,+
ZNF618,chr9,113876282,+
PPP1R3A,chr7,114075920,-
BCL2L15,chr1,113887581,-
ACTR3,chr2,113890063,+
AP4B1,chr1,113905712,-
ARSJ,chr4,113979727,-
DCLRE1B,chr1,113904619,+
HTR3B,chr11,113904796,+
HIPK1,chr1,113929324,+
HDAC2,chr6,114011308,-
ZDHHC23,chr3,113947901,+
C13orf46,chr13,113974076,-
CCDC191,chr3,114056594,-
HTR3A,chr11,113975075,+
RASA3,chr13,114132623,-
OLFML3,chr1,113979391,+
QTRT2,chr3,114005833,+
ADRB1,chr10,114043866,+
HS3ST5,chr6,114343023,-
KCNN2,chr5,114055926,+
ZBTB16,chr11,114059041,+
AMBP,chr9,114078300,-
KIF12,chr9,114099292,-
FOXP2,chr7,114086491,+
SYT6,chr1,114153880,-
CCDC186,chr10,114174232,-
DRD3,chr3,114199407,-
CFAP97D2,chr13,114154691,+
COL27A1,chr9,114155537,+
TDRD1,chr10,114179270,+
ZNF80,chr3,114237578,-
CDC16,chr13,114234887,+
VWA2,chr10,114239254,+
NNMT,chr11,114257787,+
TIGIT,chr3,114276913,+
UPF3A,chr13,114281601,+
AFAP1L2,chr10,114404756,-
CHAMP1,chr13,114314482,+
ZBTB20,chr3,115147292,-
ORM1,chr9,114323098,+
ORM2,chr9,114329869,+
AKNA,chr9,114394405,-
TBX5,chr12,114408442,-
C11orf71,chr11,114400511,-
TRIM33,chr1,114511203,-
RBM7,chr11,114400030,+
ENSG00000255663,chr11,114400682,+
WHRN,chr9,114505473,-
ABLIM1,chr10,114768061,-
REXO2,chr11,114439466,+
DPP10,chr2,114442299,+
NXPE1,chr11,114559881,-
BCAS2,chr1,114581629,-
NXPE4,chr11,114595786,-
DENND2C,chr1,114670422,-
HTR2C,chrX,114584078,+
ATP6V1G1,chr9,114587706,+
UGT8,chr4,114598770,+
TMEM268,chr9,114611206,+
TEX53,chr9,114662374,-
TEX48,chr9,114682192,-
TBX3,chr12,114684175,-
AMPD1,chr1,114695618,-
NXPE2,chr11,114678527,+
NRAS,chr1,114716771,-
CSDE1,chr1,114758676,-
SIKE1,chr1,114780685,-
TNFSF15,chr9,114806039,-
FHIP2A,chr10,114821744,+
NDST4,chr4,115113876,-
SYCP1,chr1,114854863,+
TNFSF8,chr9,114930595,-
MDFIC,chr7,114922094,+
TRUB1,chr10,114938195,+
IL13RA2,chrX,115019977,-
TNC,chr9,115118207,-
TSHB,chr1,115029826,+
TSPAN2,chr1,115089503,-
ATRNL1,chr10,115093365,+
LRCH2,chrX,115234096,-
TRIM36,chr5,115180546,-
CADM1,chr11,115504957,-
RBMXL3,chrX,115189410,+
PGGT1B,chr5,115262877,-
CCDC112,chr5,115296693,-
NGF,chr1,115338770,-
LUZP4,chrX,115289715,+
TRPS1,chr8,115809673,-
FEM1C,chr5,115544775,-
PLS3,chrX,115561174,+
TICAM2,chr5,115602479,-
TMED7-TICAM2,chr5,115626161,-
TMED7,chr5,115632992,-
GAP43,chr3,115623510,+
VANGL1,chr1,115641970,+
CASQ2,chr1,115837921,-
LSAMP,chr3,117997592,-
CDO1,chr5,115816659,-
ATG12,chr5,115841565,-
NHLH2,chr1,115843917,-
AP3S1,chr5,115841592,+
FRK,chr6,116060891,-
TFEC,chr7,116159896,-
MED13L,chr12,116277693,-
LVRN,chr5,115962475,+
SLC22A15,chr1,115976513,+
ARL14EPL,chr5,116032324,+
GFRA1,chr10,116276803,-
COMMD10,chr5,116085025,+
NT5DC1,chr6,116100851,+
MAB21L3,chr1,116111399,+
COL10A1,chr6,116158747,-
PAPPA,chr9,116153791,+
AGTR2,chrX,116170744,+
TES,chr7,116210539,+
TSPYL4,chr6,116254075,-
DSE,chr6,116254173,+
TSPYL1,chr6,116279930,-
CAV2,chr7,116287380,+
CCDC172,chr10,116324448,+
ATP1A1,chr1,116372668,+
ENSG00000285446,chr6,116399395,+
ASTN2,chr9,117415070,-
PNLIPRP3,chr10,116427847,+
SLC6A14,chrX,116436606,+
SEMA6A,chr5,116574823,-
CALHM6,chr6,116461370,+
CT83,chrX,116462976,-
TRAPPC3L,chr6,116545684,-
CALHM5,chr6,116511639,+
CD58,chr1,116571039,-
CAV1,chr7,116524994,+
CALHM4,chr6,116529013,+
PNLIP,chr10,116545931,+
MAP1LC3B2,chr12,116548105,+
RWDD1,chr6,116571409,+
IGSF3,chr1,116667755,-
PNLIPRP1,chr10,116590385,+
RSPH4A,chr6,116616479,+
PNLIPRP2,chr10,116620968,+
ZUP1,chr6,116668794,-
EIF3H,chr8,116766925,-
SPMIP5,chr10,116669970,-
HSPA12A,chr10,116850251,-
MET,chr7,116672196,+
KPNA5,chr6,116681191,+
TRIM32,chr9,116687305,+
SPRING1,chr12,116738069,-
RNFT2,chr12,116738178,+
BUD13,chr11,116772987,-
FAM162B,chr6,116765719,-
CD2,chr1,116754430,+
UTP23,chr8,116766508,+
ZPR1,chr11,116788023,-
APOA5,chr11,116792420,-
GPRC6A,chr6,116829083,-
CAPZA2,chr7,116811070,+
APOA4,chr11,116823304,-
APOC3,chr11,116829706,+
APOA1,chr11,116837622,-
SIK3,chr11,117098437,-
RAD21,chr8,116874776,-
ENO4,chr10,116849499,+
HRK,chr12,116881441,-
RFX6,chr6,116877242,+
SHTN1,chr10,117126586,-
PTGFRN,chr1,116909916,+
FBXW8,chr12,116910950,+
AARD,chr8,116938207,+
SLC30A8,chr8,116950273,+
ST7,chr7,116953238,+
ENSG00000288635,chr7,116954391,+
CD101,chr1,117001750,+
TESC,chr12,117099446,-
TTF2,chr1,117060326,+
TRAM1L1,chr4,117085576,-
TRIM45,chr1,117122587,-
VAX1,chr10,117138301,-
FBXO21,chr12,117190470,-
VTCN1,chr1,117210960,-
PAFAH1B2,chr11,117144284,+
SIDT2,chr11,117178736,+
KCNK18,chr10,117197489,+
TAGLN,chr11,117199370,+
PCSK7,chr11,117232525,-
NOS1,chr12,117452170,-
RNF214,chr11,117232625,+
SLC18A2,chr10,117241114,+
VGLL2,chr6,117265558,+
WNT2,chr7,117323058,-
PDZD8,chr10,117375440,-
BACE1,chr11,117316259,-
CFTR,chr7,117287120,+
ROS1,chr6,117425942,-
CEP164,chr11,117314557,+
ENSG00000282218,chr6,117573571,-
ASZ1,chr7,117428123,-
MAN1A2,chr1,117367449,+
DSCAML1,chr11,117817525,-
KSR2,chr12,117968990,-
DCBLD1,chr6,117453817,+
MED30,chr8,117520713,+
EMX2,chr10,117542445,+
GOPC,chr6,117602542,-
TENT5C,chr1,117606048,+
LINC03051,chr3,117997592,-
NUS1,chr6,117675469,+
ENSG00000285082,chr9,117704390,+
TLR4,chr9,117704175,+
CTTNBP2,chr7,117874139,-
EXT1,chr8,118111826,-
FXYD2,chr11,117828698,-
DDX18,chr2,117814691,+
FXYD6-FXYD2,chr11,117876667,-
FXYD6,chr11,117877486,-
GDAP2,chr1,117929621,-
KLHL13,chrX,118117340,-
TMPRSS13,chr11,117929459,-
SLC35F1,chr6,117907264,+
CCDC93,chr2,118014133,-
WDR3,chr1,117929720,+
SPAG17,chr1,118185228,-
IL10RA,chr11,117986391,+
SMIM35,chr11,118088299,-
RAB11FIP2,chr10,118046941,-
RFC5,chr12,118013588,+
WSB2,chr12,118062430,-
NDST3,chr4,118034486,+
VSIG10,chr12,118136026,-
TMPRSS4,chr11,118077012,+
INSIG2,chr2,118088471,+
SCN4B,chr11,118152888,-
PEBP1,chr12,118136124,+
TAOK3,chr12,118372907,-
SCN2B,chr11,118176639,-
LSM8,chr7,118184144,+
SAMD12,chr8,118622112,-
JAML,chr11,118225021,-
ANKRD7,chr7,118214669,+
MPZL3,chr11,118252365,-
MPZL2,chr11,118264536,-
PRSS12,chr4,118353003,-
FAM204A,chr10,118342324,-
CD3E,chr11,118304730,+
CD3D,chr11,118342705,-
CD3G,chr11,118344344,+
WDR44,chrX,118346073,+
UBE4A,chr11,118359600,+
SUDS3,chr12,118376555,+
ATP5MG,chr11,118401346,+
ENSG00000285827,chr11,118401602,+
KMT2A,chr11,118436456,+
CEP85L,chr6,118710075,-
DOCK11,chrX,118495815,+
TTC36,chr11,118527474,+
TMEM25,chr11,118531041,+
IFT46,chr11,118572970,-
PLN,chr6,118548296,+
ARCN1,chr11,118572390,+
PRLHR,chr10,118595648,-
PHLDB1,chr11,118606440,+
RBBP8P1,chrX,118634616,-
TREH,chr11,118679666,-
CACUL1,chr10,118754970,-
METTL14,chr4,118685392,+
SEC24D,chr4,118838653,-
IL13RA1,chrX,118727133,+
DDX6,chr11,118791164,-
MCM9,chr6,118935162,-
ZCCHC12,chrX,118823824,+
DTWD2,chr5,118988547,-
EN1,chr2,118847648,-
SYNPO2,chr4,118850688,+
TBX15,chr1,118989556,-
CXCR5,chr11,118883892,+
BCL9L,chr11,118925926,-
ASF1A,chr6,118894152,+
IGSF11,chr3,119146068,-
TNFRSF11B,chr8,118951885,-
UPK2,chr11,118925164,+
MARCO,chr2,118942194,+
FAM184A,chr6,119149387,-
FOXR1,chr11,118971761,+
LONRF3,chrX,118974614,+
SRRM4,chr12,118981541,+
COLEC10,chr8,118995452,+
CENATAC,chr11,118998138,+
RPS25,chr11,119018343,-
TRAPPC4,chr11,119018766,+
SLC37A4,chr11,119030906,-
NANOS1,chr10,119029714,+
WARS2,chr1,119140654,-
EIF3A,chr10,119080817,-
DMXL1,chr5,119037772,+
HYOU1,chr11,119057227,-
VPS11,chr11,119067818,+
CT47C1,chrX,119072993,+
KIAA1210,chrX,119150579,-
HMBS,chr11,119084866,+
H2AX,chr11,119095465,-
DPAGT1,chr11,119108331,-
C2CD2L,chr11,119102198,+
DENND10,chr10,119104086,+
HINFP,chr11,119121580,+
MYOZ2,chr4,119135832,+
SFXN4,chr10,119165714,-
TEX55,chr3,119146165,+
ENSG00000251012,chr3,119147375,+
ABCG4,chr11,119149052,+
BRINP1,chr9,119369435,-
C1QL2,chr2,119158751,-
MAL2,chr8,119165034,+
NLRX1,chr11,119166568,+
PRDX3,chr10,119178812,-
HSPB8,chr12,119171555,+
UPK1B,chr3,119173517,+
MAN1A1,chr6,119349761,-
NHERF4,chr11,119185475,+
DRC12,chr11,119196769,-
CBL,chr11,119206298,+
GRK5,chr10,119207571,+
B4GALT4,chr3,119240946,-
USP53,chr4,119212713,+
STEAP3,chr2,119223831,+
PGRMC1,chrX,119236245,+
TNFAIP8,chr5,119268692,+
ARHGAP31,chr3,119294383,+
C4orf3,chr4,119304445,-
C2orf76,chr2,119366834,-
MCAM,chr11,119321521,-
FABP2,chr4,119322138,-
RNF26,chr11,119334527,+
CCDC60,chr12,119334712,+
C1QTNF5,chr11,119340940,-
MFRP,chr11,119346705,-
USP2,chr11,119381711,-
DBI,chr2,119366924,+
HAO2,chr1,119368779,+
SLC25A43,chrX,119399336,+
HSD3B2,chr1,119414931,+
THY1,chr11,119424985,-
CCN3,chr8,119416446,+
TMEM39A,chr3,119468830,-
TMEM37,chr2,119429901,+
SCTR,chr2,119525301,-
HSD17B4,chr5,119452476,+
SLC25A5,chrX,119468422,+
POGLUT1,chr3,119468963,+
UBE2A,chrX,119474802,+
PDE5A,chr4,119628804,-
TIMMDC1,chr3,119498547,+
RGS10,chr10,119542719,-
HSD3B1,chr1,119507198,+
CD80,chr3,119559614,-
STEEP1,chrX,119565409,-
CFAP221,chr2,119544449,+
ENPP2,chr8,119673453,-
TIAL1,chr10,119596964,-
ADPRH,chr3,119579268,+
NKRF,chrX,119606443,-
TMEM233,chr12,119593774,+
PLA1A,chr3,119597875,+
SEPTIN6,chrX,119693370,-
ZNF697,chr1,119648266,-
NECTIN1,chr11,119729200,-
FAM170A,chr5,119629558,+
POPDC2,chr3,119665324,-
PHGDH,chr1,119648411,+
BAG3,chr10,119651380,+
COX17,chr3,119677406,-
PRKAB1,chr12,119667864,+
TMEM177,chr2,119679167,+
CIT,chr12,119877320,-
CFAP91,chr3,119703022,+
ENSG00000285585,chr3,119703076,+
INPP5F,chr10,119726050,+
TAF2,chr8,119832855,-
HMGCS2,chr1,119768905,-
SOWAHD,chrX,119758588,+
PTPN4,chr2,119759922,+
NR1I2,chr3,119780484,+
RPL39,chrX,119791630,-
REG4,chr1,119811580,-
GSK3B,chr3,120094994,-
MCMBP,chr10,119892556,-
DSCC1,chr8,119855894,-
UPF3B,chrX,119852998,-
RNF113A,chrX,119871733,-
NDUFA1,chrX,119871832,+
DEPTOR,chr8,119873717,+
SEC23IP,chr10,119892707,+
ADAM30,chr1,119896515,-
AKAP14,chrX,119895837,+
NOTCH2,chr1,120100779,-
NKAP,chrX,119943751,-
RHOXF1P3,chrX,119942834,+
BICDL1,chr12,119989236,+
EPB41L5,chr2,120013077,+
MAD2L1,chr4,120066848,-
COL14A1,chr8,120107378,+
RHOXF2B,chrX,120077690,-
RAB35,chr12,120116767,-
RHOXF1,chrX,120245267,-
TRIM29,chr11,120185529,-
GCN1,chr12,120194715,-
SEC22B,chr1,120176520,-
RHOXF2,chrX,120158613,+
GPR156,chr3,120285222,-
RPLP0,chr12,120201235,-
PXN,chr12,120265771,-
OAF,chr11,120211032,+
TMEM185B,chr2,120223400,-
POU2F3,chr11,120236640,+
RALB,chr2,120240064,+
ZBTB33,chrX,120250752,+
TMEM255A,chrX,120311556,-
KCND2,chr7,120273175,+
SIRT4,chr12,120292393,+
PLA2G1B,chr12,120327779,-
LRRC58,chr3,120349354,-
TLCD5,chr11,120325296,+
ARHGEF12,chr11,120336413,+
MSI1,chr12,120369164,-
INHBB,chr2,120346136,+
ATP1B4,chrX,120362085,+
MRPL13,chr8,120445150,-
CDK5RAP2,chr9,120580167,-
FSTL1,chr3,120450992,-
NBPF8,chr1,120415035,+
LAMP2,chrX,120469365,-
COX6A1,chr12,120438113,+
ENSG00000111780,chr12,120438198,+
TRIAP1,chr12,120446384,-
MTBP,chr8,120445419,+
GATC,chr12,120446444,+
PLPP4,chr10,120457227,+
SRSF9,chr12,120474773,-
PRR16,chr5,120464300,+
DYNLL1,chr12,120469850,+
COQ5,chr12,120534434,-
CUL4B,chrX,120604074,-
GRIK4,chr11,120511746,+
RNF10,chr12,120533480,+
ENSG00000288623,chr12,120534697,+
SNTB1,chr8,120813273,-
POP5,chr12,120581402,-
MCTS1,chrX,120594010,+
NDUFB4,chr3,120596328,+
MEGF9,chr9,120714470,-
